"","name","age","mw","league","year","points","ranking","logmw"
"303","Sunderland",25.4,4.1,"Premier League",2013,39,17,1.41098697371026
"304","Everton",25.6,4.8,"Premier League",2013,63,6,1.56861591791385
"305","Fulham",26.9,3.47,"Premier League",2013,43,12,1.24415459395877
"306","West Ham",25.1,3.37,"Premier League",2013,46,9,1.21491274436427
"307","Aston Villa",24.1,3.26,"Premier League",2013,41,15,1.18172719537862
"308","Stoke",27.6,3.42,"Premier League",2013,42,13,1.22964055107451
"309","Swansea",25.9,3.03,"Premier League",2013,46,10,1.10856261952128
"310","West Brom",25.7,2.86,"Premier League",2013,49,8,1.05082162483176
"311","Wigan",25,2.33,"Premier League",2013,36,18,0.845868267577609
"312","Norwich",25.3,2.08,"Premier League",2013,44,11,0.732367893713227
"313","Southampton",24.3,1.86,"Premier League",2013,41,16,0.62057648772511
"314","Reading",25.6,1.42,"Premier League",2013,28,19,0.350656871613169
"315","Barcelona",25.2,23,"LaLiga",2013,100,1,3.13549421592915
"316","Real Madrid",24.5,17.98,"LaLiga",2013,85,2,2.88926002904347
"317","Ath Madrid",24.3,6.57,"LaLiga",2013,76,3,1.88251383249652
"318","Valencia",24.6,6.34,"LaLiga",2013,65,5,1.84687876844913
"319","Sevilla",24.3,4.33,"LaLiga",2013,50,9,1.4655675420144
"320","Ath Bilbao",23.2,4.06,"LaLiga",2013,45,12,1.40118297361364
"321","Malaga",25.8,3.37,"LaLiga",2013,57,6,1.21491274436427
"322","Granada",26.2,2.68,"LaLiga",2013,42,15,0.985816794522765
"323","Getafe",26,2.53,"LaLiga",2013,47,10,0.928219302739429
"324","Sociedad",24.7,3.14,"LaLiga",2013,66,4,1.14422279992016
"325","Mallorca",24.5,1.87,"LaLiga",2013,36,18,0.625938430866495
"326","La Coruna",27.7,2.04,"LaLiga",2013,35,19,0.712949807856125
"327","Espanol",24.9,2.18,"LaLiga",2013,44,13,0.779324876800998
"328","Betis",24.8,1.56,"LaLiga",2013,56,7,0.444685821261446
"329","Zaragoza",25.1,1.47,"LaLiga",2013,34,20,0.385262400790645
"330","Osasuna",26.9,1.55,"LaLiga",2013,39,16,0.438254930931155
"331","Levante",26.9,1.51,"LaLiga",2013,46,11,0.412109650826833
"332","Vallecano",25.9,1.23,"LaLiga",2013,53,8,0.207014169384326
"333","Celta",25.4,1.27,"LaLiga",2013,37,17,0.2390169004705
"334","Valladolid",25.8,0.994,"LaLiga",2013,43,14,-0.00601807232556302
"335","Juventus",25.3,7.72,"Serie A",2013,87,1,2.04381436403668
"336","Milan",24.6,6.46,"Serie A",2013,72,3,1.86562931779451
"337","Inter",23.3,4.83,"Serie A",2013,54,9,1.57484646766448
"338","Napoli",25.2,5.53,"Serie A",2013,78,2,1.71018781553424
"339","Fiorentina",24.2,4.35,"Serie A",2013,70,4,1.47017584510059
"340","Roma",23.6,4.27,"Serie A",2013,62,6,1.45161382724053
"341","Lazio",23.9,2.34,"Serie A",2013,61,7,0.85015092936961
"342","Genoa",25.5,2.57,"Serie A",2013,38,17,0.943905898907128
"343","Udinese",22.3,2.21,"Serie A",2013,66,5,0.792992515529661
"344","Palermo",24.2,1.82,"Serie A",2013,32,19,0.598836501088704
"345","Bologna",23.6,1.66,"Serie A",2013,44,13,0.506817602368452
"346","Atalanta",26.7,1.76,"Serie A",2013,42,15,0.56531380905006
"347","Parma",24.6,1.77,"Serie A",2013,49,10,0.570979546585738
"348","Sampdoria",24.4,1.87,"Serie A",2013,43,14,0.625938430866495
"349","Cagliari",23,1.91,"Serie A",2013,47,11,0.647103242058538
"350","Chievo",25.9,1.26,"Serie A",2013,45,12,0.231111720963387
"351","Torino",24.8,1.43,"Serie A",2013,40,16,0.357674444271816
"352","Catania",24.4,1.42,"Serie A",2013,56,8,0.350656871613169
"353","Siena",26.3,1.06,"Serie A",2013,36,18,0.0582689081239758
"354","Pescara",23.5,0.879,"Serie A",2013,22,20,-0.12897038129696
"355","Bayern Munich",24.5,14.55,"1. Bundesliga",2013,91,1,2.6775909936175
"356","Dortmund",23.3,7.85,"1. Bundesliga",2013,66,2,2.06051353179432
"357","Schalke 04",24.3,6.11,"1. Bundesliga",2013,55,4,1.8099267731835
